시도,시군구,주소,주택유형,매입유형,전용면적(m2),임대보증금액,안심전세포털,네이버지도
인천광역시,인천 미추홀구,인천 미추홀구 주안동 219-4 주안네오빌주상복합 5층 아파트504호,아파트,경매등매입형,17.51,"37,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023214337,https://map.naver.com/p/search/인천 미추홀구 주안동 219-4 주안네오빌주상복합 5층 아파트504호
인천광역시,인천 미추홀구,인천 미추홀구 주안동 23-1 주안프라움에스 3층 319호,아파트,경매등매입형,14.904,"38,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022352721,https://map.naver.com/p/search/인천 미추홀구 주안동 23-1 주안프라움에스 3층 319호
인천광역시,인천 남동구,인천 남동구 구월동 1124-8 구월베스티움 1동 7층 709호,아파트,경매등매입형,14.215,"46,800,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023214773,https://map.naver.com/p/search/인천 남동구 구월동 1124-8 구월베스티움 1동 7층 709호
인천광역시,인천 서구,인천 서구 경서동 762-12 범한파크빌7차 2층 203호,다세대주택,경매등매입형,33.21,"54,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023249171,https://map.naver.com/p/search/인천 서구 경서동 762-12 범한파크빌7차 2층 203호
경기도,경기 김포시,경기 김포시 구래동 6871-36 김포더럭스나인 D동 3층 302호,오피스텔(주거용),경매등매입형,20.98,"61,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023310977,https://map.naver.com/p/search/경기 김포시 구래동 6871-36 김포더럭스나인 D동 3층 302호
인천광역시,인천 서구,인천 서구 청라동 167-17 딜라이트타워2 10층 1009호,오피스텔(주거용),경매등매입형,28.565,"62,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023061886,https://map.naver.com/p/search/인천 서구 청라동 167-17 딜라이트타워2 10층 1009호
인천광역시,인천 서구,"인천 서구 당하동 1087-5 ,1087-16,1087-17,1087-18,1087-19 플로채 108동 4층 404호",다세대주택,경매등매입형,35.73,"67,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022214180,"https://map.naver.com/p/search/인천 서구 당하동 1087-5 ,1087-16,1087-17,1087-18,1087-19 플로채 108동 4층 404호"
경기도,경기 부천시 소사구,경기 부천시 소사구 심곡본동 624-8 애플하우스 4층 404호,다세대주택,경매등매입형,28.23,"70,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023067909,https://map.naver.com/p/search/경기 부천시 소사구 심곡본동 624-8 애플하우스 4층 404호
인천광역시,인천 부평구,인천 부평구 십정동 75-1 베네치아 1동 4층 402호,다세대주택,경매등매입형,42.04,"72,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022380925,https://map.naver.com/p/search/인천 부평구 십정동 75-1 베네치아 1동 4층 402호
인천광역시,인천 부평구,인천 부평구 부개동 317-7 그레이스힐 1동 5층 503호,다세대주택,경매등매입형,34.35,"74,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023130123,https://map.naver.com/p/search/인천 부평구 부개동 317-7 그레이스힐 1동 5층 503호
서울특별시,서울 강서구,서울 강서구 화곡동 1161 강서 동도센트리움 101동 15층 1522호,오피스텔(주거용),경매등매입형,18.967,"75,600,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022252948,https://map.naver.com/p/search/서울 강서구 화곡동 1161 강서 동도센트리움 101동 15층 1522호
인천광역시,인천 서구,인천 서구 당하동 1087-22 하나로아트빌 1동 4층 403호,다세대주택,경매등매입형,38.12,"76,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023228478,https://map.naver.com/p/search/인천 서구 당하동 1087-22 하나로아트빌 1동 4층 403호
서울특별시,서울 강서구,서울 강서구 화곡동 24-59 해오름빌딩 8층 802호,오피스텔(주거용),경매등매입형,29.56,"79,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022267835,https://map.naver.com/p/search/서울 강서구 화곡동 24-59 해오름빌딩 8층 802호
서울특별시,서울 강북구,"서울 강북구 수유동 53-80, 53-81 엠케이프라디움 3층 302호",다세대주택,경매등매입형,18.91,"84,600,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023294712,"https://map.naver.com/p/search/서울 강북구 수유동 53-80, 53-81 엠케이프라디움 3층 302호"
